Match_id,Team1,Team2,Format,Ground,Year,Toss,Selection,fi_score,fi_wickets,fi_4s,fi_6s,fi_extra,fi_run_rate,fi_avg_str_rate,fi_max_score,fi_max_indv_wickets,PlayerOfTheMatch,Result,si_score,si_wickets,si_4s,si_6s,si_extras,si_run_rate,si_avg_str_rate,si_max_score,si_max_indv_wickets
94,India,Pakistan,T20I,Mirpur,2016,India,Bowling,85,5,10,0,14,5.48,56.88,49,3,Virat Kohli,India,83,10,8,0,15,4.74,70.39,25,3
95,Bangladesh,Sri Lanka,T20I,Mirpur,2016,Bangladesh,Batting,147,7,15,4,4,7.35,68.71,80,3,Sabbir Rahman,Bangladesh,124,8,7,4,3,6.2,93.02,37,3
96,Pakistan,UAE,T20I,Mirpur,2016,UAE,Batting,131,3,12,6,3,7.01,92.45,63,2,Shoaib Malik,Pakistan,129,6,13,6,9,6.45,103.27,46,3
97,India,Sri Lanka,T20I,Mirpur,2016,India,Bowling,142,5,15,4,1,7.34,110.74,56,2,Virat Kohli,India,138,9,14,2,10,6.9,107.95,30,2
98,Bangladesh,Pakistan,T20I,Mirpur,2016,Pakistan,Batting,131,5,10,3,8,6.83,118.28,48,3,Soumya Sarkar,Bangladesh,129,7,12,4,0,6.45,68.11,58,2
99,India,UAE,T20I,Mirpur,2016,UAE,Batting,82,1,14,2,2,8.06,132.62,39,2,Rohit Sharma,India,81,9,6,1,7,4.05,34.28,43,1
100,Pakistan,Sri Lanka,T20I,Mirpur,2016,Pakistan,Bowling,151,4,18,3,7,7.81,120.67,48,2,Umar Akmal,Pakistan,150,4,17,2,7,7.5,80.93,75,1
101,Bangladesh,India,T20I,Mirpur,2016,India,Bowling,120,5,12,2,3,8,115.35,33,1,Shikhar Dhawan,India,122,2,15,3,0,8.81,159.03,60,1
102,Bangladesh,Sri Lanka,ODI,Dubai(DSC),2018,Bangladesh,Batting,261,10,19,6,12,5.27,47.61,144,2,Mushfiqur Rahim,Bangladesh,124,10,8,4,1,3.5,56.26,29,4
103,Hong Kong,Pakistan,ODI,Dubai(DSC),2018,Hong Kong,Batting,116,10,10,1,4,3.12,40.6,27,2,Usman Shinwari,Pakistan,120,2,9,3,4,5.07,83.7,50,3
104,Afghanistan,Sri Lanka,ODI,Abu Dhabi,2018,Afghanistan,Batting,249,10,19,3,9,4.98,106.37,72,2,Rahmat Shah,Afghanistan,158,10,10,1,13,3.82,43.2,36,5
105,Hong Kong,India,ODI,Dubai(DSC),2018,Hong Kong,Bowling,259,8,19,6,13,5.18,77.72,92,3,Shikhar Dhawan,India,285,7,25,5,5,5.7,67.08,127,3
106,India,Pakistan,ODI,Dubai(DSC),2018,Pakistan,Batting,164,2,17,5,4,5.65,92.42,52,3,Bhuvneshwar Kumar,India,162,10,10,2,7,3.75,45.54,47,1
107,Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Afghanistan,Batting,255,7,24,1,7,5.1,93.22,58,2,Rashid Khan,Afghanistan,119,10,5,0,5,2.82,34.44,32,4
108,Bangladesh,India,ODI,Dubai(DSC),2018,India,Bowling,173,10,11,4,3,3.51,56.81,42,1,Ravindra Jadeja,India,174,3,13,4,4,4.78,66.77,83,4
109,Afghanistan,Pakistan,ODI,Abu Dhabi,2018,Afghanistan,Batting,257,6,16,5,5,5.14,92.35,97,3,Shoaib Malik,Pakistan,258,7,13,6,17,5.21,92.88,80,3
110,India,Pakistan,ODI,Dubai(DSC),2018,Pakistan,Batting,238,1,24,6,1,6.02,91.31,114,2,Shikhar Dhawan,India,237,7,11,5,8,4.74,78.76,78,0
111,Afghanistan,Bangladesh,ODI,Abu Dhabi,2018,Bangladesh,Batting,246,7,20,3,8,4.92,76.19,71,3,Mahmudullah,Bangladesh,249,7,15,3,7,4.98,72.28,74,2
112,Afghanistan,India,ODI,Dubai(DSC),2018,Afghanistan,Batting,252,8,17,11,7,5.04,54.19,124,2,Mohammad Shahzad,India,252,10,17,5,9,5.05,71.67,60,3
113,Bangladesh,Pakistan,ODI,Abu Dhabi,2018,Bangladesh,Batting,239,10,17,1,9,4.89,73.23,99,4,Mushfiqur Rahim,Bangladesh,202,9,10,2,9,4.04,60.59,83,4
114,Bangladesh,India,ODI,Dubai(DSC),2018,India,Bowling,222,10,17,4,7,4.57,49.98,121,2,Litton Das,India,223,7,13,6,13,4.46,73.33,48,3
